iter	Passed	Remaining
585	6259	4422
586	6273	4413
587	6312	4422
588	6326	4414
589	6338	4404
590	6377	4413
591	6386	4401
592	6390	4385
593	6401	4375
594	6412	4364
595	6422	4353
596	6428	4339
597	6436	4327
598	6448	4316
599	6487	4325
600	6501	4316
601	6527	4315
602	6543	4308
603	6558	4299
604	6564	4285
605	6574	4274
606	6581	4261
607	6591	4249
608	6599	4236
609	6606	4224
610	6620	4215
611	6629	4203
612	6635	4189
613	6651	4181
614	6656	4167
615	6672	4159
616	6690	4152
617	6706	4145
618	6720	4136
619	6732	4126
620	6737	4111
621	6754	4104
622	6764	4093
623	6770	4079
624	6786	4072
625	6802	4064
626	6814	4053
627	6837	4050
628	6843	4036
629	6858	4028
630	6870	4017
631	6875	4003
632	6889	3994
633	6899	3983
634	7059	4057
635	7076	4050
636	7091	4041
637	7096	4026
638	7130	4028
639	7141	4017
640	7147	4002
641	7154	3989
642	7168	3980
643	7185	3972
644	7197	3961
645	7216	3954
646	7221	3940
647	7231	3928
648	7269	3931
649	7311	3936
650	7316	3922
651	7327	3910
652	7368	3915
653	7395	3912
654	7408	3902
655	7413	3887
656	7462	3896
657	7478	3887
658	7492	3876
659	7575	3902
660	7591	3893
661	7608	3884
662	7646	3886
663	7672	3882
664	7685	3871
665	7693	3858
666	7707	3847
667	7721	3837
668	7755	3837
669	7774	3829
670	7800	3824
671	7810	3812
672	7821	3800
673	7871	3807
674	7884	3796
675	7898	3785
676	7907	3772
677	7918	3760
678	7929	3748
679	7957	3744
680	7979	3738
681	7992	3726
682	7996	3711
683	8006	3698
684	8020	3688
685	8024	3673
686	8035	3661
687	8040	3646
688	8058	3637
689	8071	3626
690	8103	3623
691	8120	3614
692	8137	3604
693	8152	3594
694	8170	3585
695	8201	3582
696	8206	3567
697	8217	3555
698	8225	3541
699	8231	3527
700	8243	3516
701	8255	3504
702	8261	3490
703	8272	3478
704	8275	3462
705	8291	3452
706	8303	3441
707	8309	3427
708	8337	3422
709	8352	3411
710	8418	3422
711	8441	3414
712	8490	3417
713	8495	3402
714	8509	3391
715	8519	3379
716	8531	3367
717	8542	3355
718	8548	3340
719	8552	3325
720	8564	3314
721	8573	3301
722	8587	3290
723	8601	3279
724	8618	3269
725	8632	3258
726	8670	3255
727	8700	3250
728	8734	3246
729	8849	3272
730	8857	3259
731	8883	3252
732	8891	3238
733	8898	3224
734	8911	3213
735	8937	3205
736	8961	3198
737	8976	3186
738	8984	3173
739	9024	3170
740	9037	3158
741	9051	3147
742	9056	3132
743	9071	3121
744	9085	3109
745	9101	3098
746	9116	3087
747	9138	3078
748	9153	3067
749	9169	3056
750	9181	3044
751	9219	3040
752	9229	3027
753	9245	3016
754	9267	3007
755	9296	3000
756	9301	2985
757	9324	2976
758	9332	2963
759	9347	2951
760	9361	2939
761	9393	2933
762	9427	2928
